epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.741767,1.78835,3.57062,1.65695,0.0052,0.93333,0.33111,0.21196,1.35183,2.99027,1.29662,4.287e-05,4.287e-05,4.287e-05
2,1.34431,1.82774,3.5386,1.74281,0.00562,1,0.3945,0.27254,1.09591,2.94651,1.08891,9.90397e-05,9.90397e-05,9.90397e-05
3,1.85407,1.47264,3.19881,1.4636,0.00578,1,0.47064,0.3483,0.92067,2.89078,0.97571,0.000154078,0.000154078,0.000154078
4,2.36217,1.41636,2.81606,1.25587,0.0056,1,0.52302,0.36648,1.09166,2.74433,1.04006,0.000207984,0.000207984,0.000207984
5,2.85143,1.36063,2.33252,1.2452,0.00557,1,0.50425,0.35014,1.14894,2.66148,1.0599,0.000260758,0.000260758,0.000260758
6,3.31805,1.46172,2.18115,1.33846,0.00557,1,0.63693,0.43752,1.04888,2.61109,1.00433,0.000312401,0.000312401,0.000312401
7,3.78408,1.34654,2.13771,1.29939,0.00556,1,0.6105,0.43979,1.01095,2.66993,1.00388,0.000362912,0.000362912,0.000362912
8,4.24915,1.30217,2.11859,1.34537,0.00556,1,0.6029,0.42439,1,2.62559,0.98881,0.000412291,0.000412291,0.000412291
9,4.70526,1.22736,1.87491,1.1865,0.00558,1,0.61744,0.43759,1.01555,2.56337,1.00656,0.000460538,0.000460538,0.000460538
10,5.16093,1.28129,1.85494,1.22724,1,0.27782,0.53657,0.36185,1.08069,2.70748,1.11526,0.000507654,0.000507654,0.000507654
11,5.61988,1.36015,1.74121,1.34569,0.99949,0.33333,0.5323,0.33753,1.12189,2.79051,1.19066,0.000553637,0.000553637,0.000553637
12,6.08262,1.37998,1.67622,1.28572,1,0.29586,0.61586,0.43614,1.11836,2.59909,1.11764,0.000598489,0.000598489,0.000598489
13,6.53869,1.25572,1.40499,1.14631,1,0.26687,0.65695,0.47489,1.03962,2.44239,1.02594,0.00064221,0.00064221,0.00064221
